,Data,Loja,Marca,Produto,Preço (R$)
169,2026-03-28,Kabum,Outra/Genérica,Memoria 16gb Ddr4 Para Dell Vostro 3710 3910 Xps 8900 8910,1329.05
170,2026-03-28,Kabum,Corsair,"Memória RAM Corsair Vengeance LPX, 16GB, 2666MHz, DDR4, CL16, Preto - CMK16GX4M1A2666C16",1349.99
171,2026-03-28,Kabum,Corsair,"Memória RAM Corsair Vengeance LPX, 16GB, 2400MHz, DDR4, CL16, Preto - CMK16GX4M1A2400C16",1359.99
172,2026-03-28,Kabum,Kingston,"Memória Kingston Fury Beast, 16GB, 3200MHz, DDR4, CL16, Preto - KF432C16BB1/16",1376
173,2026-03-28,Kabum,Patriot,"Memória Patriot Signature Line, 16GB, 3200MHz, DDR4, CL22, 1.2V - PSD416G32002",1390.86
174,2026-03-28,Kabum,Patriot,Memoria 16gb Ddr4 3200mhz Patriot Viper Stell Cinza Pvs416g320c6,1394
175,2026-03-28,Kabum,Outra/Genérica,Memoria 16gb Ddr4 Para Hp Proliant Dl20 Ml30 G9,1399
176,2026-03-28,Kabum,Kingston,Memória Kingston Fury Beast 16gb Ddr4 3200mhz Cl16 (2x8GB) | Alta Performance Gamer,1399.8
177,2026-03-28,Terabyte,Corsair,"Memória DDR4 Corsair Vengeance RGB Pro, 16GB (2x8GB) 3200MHz, White, CMW16GX4M2C3200C16W",1399.99
178,2026-03-28,Terabyte,Corsair,"Memória DDR4 Corsair Vengeance RGB Pro, 16GB (2x8GB) 3200MHz, CMW16GX4M2C3200C16",1399.99
179,2026-03-28,Kabum,Corsair,"Memória RAM Corsair Vengeance LPX 16GB (2x8GB), 2400Mhz, DDR4 CL16 Black - CMK16GX4M2A2400C16",1429.99
180,2026-03-28,Kabum,Outra/Genérica,"Memória Kingspec, 16GB, 2666MHz, DDR4, Black DIMM",1436
181,2026-03-28,Terabyte,PCYes,"Memória DDR4 PCYes, RGB, 32GB, 3200MHz, Branco, PM323200D4WR",1479.9
182,2026-03-28,Terabyte,PCYes,"Memória DDR4 PCYes, RGB, 32GB, 3200MHz, Preto, PM323200D4BR",1479.9
183,2026-03-28,Kabum,Corsair,"Memória RAM Corsair Vengeance LPX, 16GB (2x8GB), 3200MHz, DDR4, CL16, Black - CMK16GX4M2E3200C16",1479.99
184,2026-03-28,Terabyte,Corsair,"Memória DDR4 Corsair Vengeance RGB RT, 16GB (2x8GB), 3200MHz, Black, CMN16GX4M2Z3200C16",1499.9
185,2026-03-28,Kabum,Corsair,"Memória RAM Corsair Vengeance RGB PRO SL, 16GB (2x8GB), 3200MHz, DDR4, CL16, Preto - CMH16GX4M2E3200C16",1499.99
186,2026-03-28,Terabyte,Kingston,"Memória DDR4 Kingston Fury Beast, 16GB, 3200Mhz, Preto, KF432C16BB1/16",1579.99
187,2026-03-28,Kabum,Redragon,Memória 16gb Ddr4 3200mhz Redragon - Cl16 - Branco - Gm-712,1590.8
